"departamento","corporacion","circunscripción","partido","candidato","genero","descipcion_movimiento","codigo","region"
"COLOMBIA","CAMARA","INDIGENAS","MOVIMIENTO ALTERNATIVO INDIGENA SOCIAL ""MAIS""","JUVENAL NULL ARRIETA GONZALEZ","M","ORGANIZACIONES INDIGENAS","",""
"COLOMBIA","CAMARA","INDIGENAS","MOVIMIENTO ALTERNATIVO INDIGENA SOCIAL ""MAIS""","NORMAN DAVID BAÑOL ALVAREZ","M","ORGANIZACIONES INDIGENAS","",""
"COLOMBIA","CAMARA","INDIGENAS","MOVIMIENTO ALTERNATIVO INDIGENA SOCIAL ""MAIS""","CENOBIA NULL TORCUATO CAICEDO","F","ORGANIZACIONES INDIGENAS","",""
"COLOMBIA","CAMARA","INDIGENAS","ASOCIACIÓN NACIONAL DE CABILDOS Y AUTORIDADES INDÍGENAS EN COLOMBIA ANICOL","ERMES RAFAEL URZOLA DE LA BARRERA","M","ORGANIZACIONES INDIGENAS","",""
"COLOMBIA","CAMARA","INDIGENAS","RESGUARDO INDÍGENA ALTA Y MEDIA GUAJIRA","JOSE MANUEL MAESTRE BELLO","M","ORGANIZACIONES INDIGENAS","",""
"COLOMBIA","CAMARA","INDIGENAS","PARTIDO INDIGENA COLOMBIANO P.I.C","MARIA YOLANDA FIGUEROA CELIS","F","ORGANIZACIONES INDIGENAS","",""
"COLOMBIA","CAMARA","INDIGENAS","RESGUARDO INDIGENA ZENU DEL ALTO SAN JORGE","YOLIS DE JESUS DE LA OSSA VERGARA","F","ORGANIZACIONES INDIGENAS","",""
"COLOMBIA","CAMARA","INDIGENAS","RESGUARDO INDIGENA ZENU DEL ALTO SAN JORGE","LIBARDO ANTONIO AVILA FLOREZ","M","ORGANIZACIONES INDIGENAS","",""
"COLOMBIA","CAMARA","INDIGENAS","CABILDO INDIGENA AYWJAWASHI","SALOMON RAFAEL RUIZ BERTEL","M","ORGANIZACIONES INDIGENAS","",""
"COLOMBIA","CAMARA","INDIGENAS","MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA ""AICO""","DUALTER NULL GUTIERREZ CABICHE","M","ORGANIZACIONES INDIGENAS","",""
"COLOMBIA","CAMARA","INDIGENAS","MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA ""AICO""","GUILLERMO ALFREDO RODRIGUEZ QUISPE","M","ORGANIZACIONES INDIGENAS","",""
"COLOMBIA","CAMARA","INDIGENAS","MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA ""AICO""","JORGE HUMBERTO CLEVES RODRIGUEZ","M","ORGANIZACIONES INDIGENAS","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","ALIANZA NACIONAL AFROCOLOMBIANA","MACEDONIO NULL MENA VALENCIA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
"COLOMBIA","CAMARA","AFRODESCENDIENTES","ALIANZA NACIONAL AFROCOLOMBIANA","ERLIN GIOVAN PEREA CHAVERRA","M","ORGANIZACIONES AFRODESCENDIENTES","",""
