"corporacion","circunscripción","partido","partido1","candidato","genero","descipcion_movimiento"
"SENADO","NACIONAL","PARTIDO LIBERAL COLOMBIANO","","LIDIO ARTURO GARCIA TURBAY","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO LIBERAL COLOMBIANO","","FABIO RAUL AMIN SALEME","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO LIBERAL COLOMBIANO","","MIGUEL ANGEL PINTO HERNANDEZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO LIBERAL COLOMBIANO","","ALEJANDRO CARLOS CHACON CAMARGO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO LIBERAL COLOMBIANO","","IVAN DARIO AGUDELO ZAPATA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO LIBERAL COLOMBIANO","","CARLOS ALBERTO ROJANO LLINAS","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO LIBERAL COLOMBIANO","","LAURA ESTER FORTICH SANCHEZ","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO LIBERAL COLOMBIANO","","KARINA ESPINOSA OLIVER","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO LIBERAL COLOMBIANO","","MARIO ALBERTO CASTAÑO PEREZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO LIBERAL COLOMBIANO","","MAURICIO GOMEZ AMIN","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO LIBERAL COLOMBIANO","","JOHN JAIRO ROLDAN AVENDAÑO","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO LIBERAL COLOMBIANO","","SARA JIMENA CASTELLANOS RODRIGUEZ","F","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO LIBERAL COLOMBIANO","","JAIME ENRIQUE DURAN BARRERA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO LIBERAL COLOMBIANO","","JULIO CESAR TURBAY NOGUERA","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
"SENADO","NACIONAL","PARTIDO LIBERAL COLOMBIANO","","FRANCISCO ALFONSO FERNANDO PAREJA GONZALEZ","M","PARTIDO O MOVIMIENTO POLITICO CON PERSONERIA JURIDICA"
