"label","nombre","circunscripcion"
"Representantes 2018-2022","Yenica Sugein Acosta Infante","Amazonas"
"Representantes 2018-2022","Inti Raúl Asprilla Reyes","Bogotá"
"Representantes 2018-2022","Modesto Enrique Aguilera Vides","Atlántico"
"Representantes 2018-2022","Luis Alberto Albán Urbano","Valle del Cauca"
"Representantes 2018-2022","José Gabriel Amar Sepulveda","Atlántico"
"Representantes 2018-2022","Milton Hugo Ángulo Viveros","Valle del Cauca"
"Representantes 2018-2022","Yamil Hernando Arana Padaui","Bolívar"
"Representantes 2018-2022","Oscar Camilo Arango Cárdenas","Vichada"
"Representantes 2018-2022","Oswaldo Arcos Benavides","Valle del Cauca"
"Representantes 2018-2022","Carlos Adolfo Ardila Espinosa","Putumayo"
"Representantes 2018-2022","Erwin Arias Betancur","Caldas"
"Representantes 2018-2022","Jennifer Kristin Arias Falla","Meta"
"Representantes 2018-2022","Fabio Fernando Arroyave Rivas","Valle del Cauca"
"Representantes 2018-2022","Juanita María Goebertus Estrada","Bogotá"
"Representantes 2018-2022","Edwin Gilberto Ballesteros Archila","Santander"
"Representantes 2018-2022","Hernán Banguero Andrade","Afrocolombianos"
"Representantes 2018-2022","Hernán Banguero Andrade","Afrocolombianos"
"Representantes 2018-2022","Jezmi Lizeth Barraza Arraut","Atlántico"
"Representantes 2018-2022","Diela Liliana Benavides Solarte","Nariño"
"Representantes 2018-2022","Jorge Enrique Benedetti Martelo","Bolívar"
"Representantes 2018-2022","John Jairo Bermúdez Garces","Antioquia"
"Representantes 2018-2022","Alexander Harley Bermúdez Lasso","Guaviare"
"Representantes 2018-2022","Jhon Jairo Berrio López","Antioquia"
"Representantes 2018-2022","Bayardo Gilberto Betancourt Pérez","Nariño"
"Representantes 2018-2022","Germán Alcides Blanco Álvarez","Antioquia"
"Representantes 2018-2022","Carlos Julio Bonilla Soto","Cauca"
"Representantes 2018-2022","Wadith Alberto Manzur Imbett","Córdoba"
"Representantes 2018-2022","Katherine Miranda Peña","Bogotá"
"Representantes 2018-2022","Néstor Leonardo Rico Rico","Cundinamarca"
"Representantes 2018-2022","Jairo Reinaldo Cala Suárez","Santander"
"Representantes 2018-2022","Andrés David Calle Aguas","Córdoba"
"Representantes 2018-2022","John Jairo Cárdenas Morán","Cauca"
"Representantes 2018-2022","Silvio José Carrasquilla Torres","Bolívar"
"Representantes 2018-2022","José Vicente Carreño Castro","Arauca"
"Representantes 2018-2022","Mauricio Andrés Toro Orjuela","Bogotá"
"Representantes 2018-2022","Wilmer Ramiro Carrillo Mendoza","Norte de Santander"
"Representantes 2018-2022","Juan Pablo Celis Vergel","Norte de Santander"
