"label","nombre","circunscripcion"
"Senado 2018-2022","Laureano Augusto Acuña Díaz","Atlántico"
"Senado 2018-2022","Ana Paola Agudelo García","Tolima"
"Senado 2018-2022","Iván Darío Agudelo Zapata","Antioquia"
"Senado 2018-2022","Richard Alfonso Aguilar Villa","Santander"
"Senado 2018-2022","Miguel Amín Escaf","Atlántico"
"Senado 2018-2022","Fabio Raúl Amín Saleme","Córdoba"
"Senado 2018-2022","Esperanza Andrade de Osso","Huila"
"Senado 2018-2022","Fernando Nicolás Araújo Rumié","Bolívar"
"Senado 2018-2022","Wilson Neber Arias Castillo","Valle del Cauca"
"Senado 2018-2022","Aida Yolanda Avella Esquivel","Boyacá"
"Senado 2018-2022","David Alejandro Barguil Assis","Córdoba"
"Senado 2018-2022","Roy Leonardo Barreras Montealegre","Bogotá"
"Senado 2018-2022","Miguel Ángel Barreto Castillo","Tolima"
"Senado 2018-2022","Julián Bedoya Pulgarin","Antioquia"
"Senado 2018-2022","Armando Alberto Benedetti Villaneda","Atlántico"
"Senado 2018-2022","John Moisés Besaile Fayad","Córdoba"
"Senado 2018-2022","Nadia Georgette Blel Scaff","Bolívar"
"Senado 2018-2022","Gustavo Bolivar Moreno","Cundinamarca"
"Senado 2018-2022","María Fernanda Cabal Molina","Valle del Cauca"
"Senado 2018-2022","Ana María Castañeda Gómez","Sucre"
"Senado 2018-2022","Mario Alberto Castaño Pérez","Caldas"
"Senado 2018-2022","Jesús Alberto Castilla Salazar","Norte de Santander"
"Senado 2018-2022","Fabián Gerardo Castillo Suárez","Magdalena"
"Senado 2018-2022","Juan Luis Castro Córdoba","Antioquia"
"Senado 2018-2022","Iván Cepeda Castro","Bogotá"
"Senado 2018-2022","Efraín José Cepeda Sarabia","Atlántico"
"Senado 2018-2022","Ruby Helena Chagui Spath","Córdoba"
"Senado 2018-2022","Arturo Char Chaljub","Atlántico"
"Senado 2018-2022","Alejandro Corrales Escobar","Risaralda"
"Senado 2018-2022","Andrés Cristo Bustos","Norte de Santander"
"Senado 2018-2022","Edgar Jesús Díaz Contreras","Norte de Santander"
"Senado 2018-2022","Luis Eduardo Díaz Granados Torres","Atlántico"
"Senado 2018-2022","Jaime Enrique Durán Barrera","Santander"
"Senado 2018-2022","Carlos Eduardo Enríquez Maya","Nariño"
"Senado 2018-2022","Laura Estér Fortich Sánchez","Atlántico"
"Senado 2018-2022","Julián Gallo Cubillos","Bogotá"
"Senado 2018-2022","Daira de Jesús Galvis Méndez","Bolívar"
"Senado 2018-2022","Nora María García Burgos","Córdoba"
"Senado 2018-2022","Juan Carlos García Gómez","Bogotá"
"Senado 2018-2022","Guillermo García Realpe","Nariño"
"Senado 2018-2022","Lidio García Turbay","Bolívar"
"Senado 2018-2022","Andrés Felipe García Zuccardi","Bolívar"
"Senado 2018-2022","José Obdulio Gaviria Vélez","Antioquia"
"Senado 2018-2022","José Alfredo Gnecco Zuleta","Cesar"
"Senado 2018-2022","Mauricio Gómez Amín","Atlántico"
"Senado 2018-2022","Juan Diego Gómez Jiménez","Antioquia"
"Senado 2018-2022","Amanda Rocío González Rodríguez","Casanare"
"Senado 2018-2022","María del Rosario Guerra de la Espriella","Sucre"
"Senado 2018-2022","Jorge Eliecer Guevara","Putumayo"
