"codigo_dane","descripcion"
"0110","Oficiales de las Fuerzas Militares"
"0110","Vicealmirante de la armada nacional"
"0110","Almirante de la armada nacional "
"0110","Brigadier general de infantería de marina"
"0110","Brigadier general del aire"
"0110","Brigadier general del ejercito nacional"
"0110","Cadete de la fuerza aérea"
"0110","Cadete de las fuerzas armadas"
"0110","Cadete del ejercito nacional"
"0110","Capitán de corbeta de la armada nacional"
"0110","Capitán de fragata de la armada nacional"
"0110","Capitán de infantería de marina"
"0110","Capitán de la fuerza aérea"
"0110","Capitán de navío de la armada nacional"
"0110","Capitán del ejército nacional"
"0110","Contralmirante de la armada nacional"
"0110","Coronel de infantería de marina"
"0110","Coronel de la fuerza aérea   "
"0110","Coronel del ejercito nacional"
"0110","General de infantería de marina"
"0110","General del aire"
"0110","General del ejército nacional"
"0110","Guardiamarina"
"0110","Mayor de infantería de marina"
"0110","Mayor de la fuerza aérea"
"0110","Mayor del ejército nacional"
"0110","Mayor general de infantería de marina"
"0110","Mayor general del ejército nacional"
"0110","Oficial de la armada nacional"
"0110","Oficial de la fuerza aérea"
"0110","Oficial del ejército nacional "
"0110","Subteniente de infantería de marina"
"0110","Subteniente de la fuerza aérea"
"0110","Subteniente del ejército nacional"
"0110","Teniente coronel de infantería de marina"
"0110","Teniente coronel de la fuerza aérea   "
"0110","Teniente coronel del ejército nacional"
"0110","Teniente de corbeta de la  armada nacional"
"0110","Teniente de fragata de la armada nacional"
"0110","Teniente de infantería de marina"
"0110","Teniente de la fuerza aérea   "
"0110","Teniente de navío de la armada nacional"
"0110","Teniente del ejército nacional"
"0110","Vicealmirante de la armada nacional"
"0210","Suboficiales de las Fuerzas Militares"
"0210","Aerotécnico de la fuerza aérea    "
"0210","Cabo primero de infantería de marina"
"0210","Cabo primero del ejército nacional "
"0210","Cabo segundo de infantería de marina"
"0210","Cabo segundo del ejército nacional "
"0210","Cabo tercero de infantería de marina"
"0210","Cabo tercero del ejército nacional"
"0210","Contramaestre de marina"
"0210","Contramaestre militar"
"0210","Marinero primero de la armada nacional"
"0210","Marinero segundo de la armada nacional"
"0210","Sargento del ejercito"
"0210","Sargento mayor de comando conjunto de infantería de marina"
"0210","Sargento mayor de comando conjunto del ejército nacional "
"0210","Sargento mayor de comando de infantería de marina"
"0210","Sargento mayor de comando del ejército"
"0210","Sargento mayor de infantería de marina"
"0210","Sargento mayor del ejército nacional"
"0210","Sargento primero de infantería de marina"
"0210","Sargento primero del ejército nacional"
"0210","Sargento segundo de infantería de marina"
"0210","Sargento segundo del ejército nacional "
"0210","Sargento viceprimero del ejército nacional"
"0210","Suboficial jefe de la armada nacional"
"0210","Suboficial jefe técnico de comando conjunto de la armada nacional"
"0210","Suboficial jefe técnico de comando de la armada nacional"
"0210","Suboficial jefe técnico de la armada nacional"
"0210","Suboficial primero de la armada nacional "
"0210","Suboficial segundo de la armada nacional"
"0210","Suboficial tercero de la armada nacional"
"0210","Técnico cuarto de la fuerza aérea    "
"0210","Técnico jefe de comando conjunto de la fuerza aérea"
"0210","Técnico jefe de comando de las fuerzas armadas"
"0210","Técnico jefe de la fuerza aérea    "
"0210","Técnico primero de la fuerza aérea    "
"0210","Técnico segundo de la fuerza aérea    "
"0210","Técnico subjefe de la fuerza aérea    "
"0210","Técnico tercero de la fuerza aérea"
"0310","Otros miembros de las Fuerzas Militares"
"0310","Artillero"
"0310","Alumno de infantería de marina"
"0310","Bombardero"
"0310","Cabo de la fuerza aérea"
"0310","Infante de marina regular"
"0310","Infante de marina profesional"
"0310","Soldado bachiller"
"0310","Soldado campesino"
"0310","Soldado de infantería"
"0310","Soldado recluta"
"0310","Soldado profesional del ejército nacional             "
"0310","Soldado regular de la fuerza aérea   "
"0310","Soldado regular del ejército nacional "
"1111","Directores formuladores de políticas y normas"
"1111","Alcalde"
"1111","Canciller"
"1111","Concejal"
"1111","Congresista"
"1111","Diputado"
"1111","Edil"
"1111","Gobernador de departamento "
"1111","Jefe de estado"
"1111","Legislador"
"1111","Miembro de la asamblea legislativa"
"1111","Miembro del consejo legislativo"
"1111","Miembro del parlamento"
"1111","Miembros de gobiernos locales"
"1111","Ministro de gobierno"
"1111","Ministro de relaciones exteriores"
"1111","Parlamentario"
"1111","Presidente de la república"
"1111","Representante de la cámara"
"1111","Senador"
"1111","Viceministro de gobierno"
"1111","Vicepresidente de la república "
"1112","Directores del gobierno"
"1112","Administrador general de la administración pública"
"1112","Agregado de prensa"
"1112","Agregado diplomático"
"1112","Alguacil jefe de policía "
"1112","Alto comisionado"
"1112","Brigadier general policía nacional"
"1112","Comisario de la policía"
"1112","Comisionado de bomberos"
"1112","Comisionado de la función pública"
"1112","Consejero de estado"
"1112","Cónsul"
"1112","Contador general de la nación "
"1112","Contralor general de la nación "
"1112","Director de asuntos intergubernamentales"
"1112","Director de departamento administrativo nacional"
"1112","Director de impuestos nacionales"
"1112","Director de programas de desarrollo económico de servicios gubernamentales"
"1112","Director de programas de política educativa de servicios gubernamentales"
"1112","Director de relaciones intergubernamentales"
"1112","Director ejecutivo de administración pública"
"1112","Director ejecutivo de cancillería"
"1112","Director ejecutivo de servicios gubernamentales"
"1112","Director general de administración pública"
"1112","Director general de departamento gubernamental"
"1112","Director general de impuestos y aduanas "
"1112","Director general de organización intergubernamental"
"1112","Director general de servicios gubernamentales"
"1112","Embajador"
"1112","Fiscal general de la nación"
"1112","Gerente general de servicios gubernamentales"
"1112","Inspector general de la policía"
"1112","Mayor general policía nacional"
"1112","Personero"
"1112","Procurador general de la nación "
"1112","Registrador nacional del estado civil"
"1112","Secretario de estado"
"1112","Secretario general de administración pública"
"1112","Subsecretario de gobierno"
"1112","Superintendente nacional"
"1112","Tesorero general de la nación"
"1112","Vicecontralor"
"1112","Vicepresidente general administrativo de empresa "
"1112","Administrador Público"
"1113","Jefes de comunidades étnicas"
"1113","Gobernador de comunidad indígena "
"1113","Jefe de comunidad indígena"
"1113","Jefe de etnia indígena"
"1113","Jefe de pueblo"
"1113","Jefe tradicional de pequeña población"
"1114","Dirigentes de organizaciones con un interés específico
(partidos políticos, sindicatos y organizaciones sociales)"
"1114","Defensor del pueblo"
"1114","Director asociación de profesionales"
"1114","Director de establecimiento adaptación social"
"1114","Director de organización electoral"
"1114","Director de organización no gubernamental"
"1114","Director de partido político"
"1114","Director ejecutivo de organización de membrecía "
"1114","Director ejecutivo de organización no gubernamental"
"1114","Director ejecutivo de organización voluntariado"
"1114","Director general de asociación deportiva"
"1114","Director general de organización de empleadores"
"1114","Director general de organización de membrecía"
"1114","Director general de organización humanitaria"
"1114","Director general de organización política"
"1114","Dirigente de organización de empleadores"
"1114","Dirigente de organización humanitaria"
"1114","Dirigente de organización sindical"
"1114","Dirigente de partido político"
"1114","Líder de partido político"
"1114","Presidente de asociación científica"
"1114","Presidente de asociación deportiva"
"1114","Presidente de club deportivo profesional"
"1114","Presidente de comité de derechos humanos"
"1114","Presidente de organización gremial"
"1114","Presidente de organización humanitaria"
"1114","Presidente de organización sindical"
"1114","Presidente de partido político"
"1114","Presidente de sindicato"
"1114","Secretario general de organización de derechos humanos"
"1114","Secretario general de organización de empleadores"
"1114","Secretario general de organización de protección del medio ambiente"
"1114","Secretario general de organización humanitaria"
"1114","Secretario general de organización sindical"
"1114","Secretario general de partido político"
"1120","Directores y gerentes generales"
"1120","Administrador general de acueducto"
"1120","Administrador general de aeropuerto"
"1120","Administrador general de oficina de aduana"
"1120","Administrador general de oficina de impuestos"
"1120","Comandante de estación de bomberos"
"1120","Director de regional"
