,descripcion,nombre,partido,instagram,facebook,linkedin,tiktok,web,twitter,Circunscripción,Grado de estudio,Profesión,Cuatrienio,Fecha de nacimiento,Edad,Lugar de nacimiento,Género,Whatsapp,Oficina,Teléfono Oficina,Correo Electrónico,YouTube
0,"Yenica Sugein Acosta Infante, es una gestora social y política, nacida el 11 de febrero de 1980 en Leticia, capital del Amazonas.Es bachiller académica de la Escuela Normal Superior de Leticia; odontóloga de la Fundación Universitaria San Martín y certificada como Epidemióloga de Campo, egresada del FETP-SEA del Instituto Nacional de Salud. Tiene un posgrado en vigilancia Sanitaria, Epidemiológica y Ambiental del Instituto de Ensino Superior Blauro Cardoso de Mattos en Brasil.Cuenta con experiencia en el sector social y de la salud, desempeñando el cargo de coordinadora Epidemiológica (2007), de Salud Pública (2008 -2010) y Secretaria de Salud (2011) en Leticia. Además, fue Gestora Departamental de Primera Infancia (2012-2013). Siendo Secretaria de Desarrollo Social de Leticia (2015-2017), lideró con éxito el programa contra la drogadicción “Yo hago parte del cambio”, permitiendo rescatar a jóvenes que se encontraban en ese flagelo; esta iniciativa social le valió un reconocimiento en la ciudad de Lima, Perú.Académicamente, ha recibido reconocimientos en Colombia, México y Honduras por sus importantes aportes en el campo de la Epidemiología en el Amazonas, con ponencias sobre madres gestantes adolescentes.Es la primera mujer electa como Representante a la Cámara por la circunscripción del departamento del Amazonas, para el Periodo Constitucional 2018 – 2022 y reelecta para el periodo 2022-2026; miembro de la bancada del Partido Centro Democrático.Fue electa Presidente de la Comisión Cuarta Constitucional o de Presupuesto para el periodo 2021-2022 y Vicepresidente de la Comisión Legal de los Derechos Humanos y Audiencias para el periodo 2019-2020.Desde el Congreso de la República, legisla a favor de varias causas sociales, como el empoderamiento femenino y la formación de nuevos liderazgos; defensa de la soberanía del país en las zonas de frontera, que permita al departamento del Amazonas fortalecer las relaciones comerciales, aduaneras, sociales y políticas con Brasil y Perú; protección de la autonomía y autodeterminación de las comunidades indígenas, proponiendo prerrogativas con enfoque diferencial en la aplicación de todos los programas del Estado y; defensa de la conservación de los ecosistemas y fuentes hídricas del bioma amazónico, visibilizando la importancia de cumplir los acuerdos en materia ambiental para evitar la minería ilegal, tráfico de fauna y flora, la deforestación y el desplazamiento de los asentamientos indígenas.",Yenica Sugein Acosta Infante,Centro Democrático,https://www.instagram.com/yenicanosune/,https://www.facebook.com/YenicaNosUne,,,,https://twitter.com/yenicanosune,Circunscripción Territorial de Amazonas en Amazonas,Especialización,Ciencias de la Salud,2022 - 2026,11 de febrero de 1980,43,Leticia,Femenino,3214181533,405B Ed. Nuevo del Congreso,4325100 ext: 4311 - 4312 - 4314,yenica.acosta@camara.gov.co,
1,"Médico Cirujano General, con diplomado en Gerencia y Auditoria en Salud. Representante electo a la Cámara por Bogotá por el movimiento Colombia Justa Libres",Carlos Eduardo Acosta Lozano,Colombia Justa Libres (Antes Movimiento Libres),,https://www.facebook.com/ceaclo/,,,,https://twitter.com/CarlosAcostaCJL,Circunscripción Territorial de Bogotá en Distrito Capital,Universitaria,Ciencias de la Salud,2018-2022,5 de mayo de 1970,53,Bogotá,Masculino,3103052626,328 - 649B - Ed. Nuevo del Congreso,4325100 ext: 4097,carlos.acosta@camara.gov.co,https://bit.ly/3i3FHQx
2,"Abogado. Magister estudios políticos, especialista en derecho contencioso administrativo y derecho administrativo.Se ha destacado en cargos como: Fiscal de las Unidades de Vida y Patrimonio Económico en la Fiscalía Seccional Atlántico, Juez Especializado, Juez de Instrucción Criminal de Barranquilla, Inspector móvil de policía de la Secretaria de Gobierno Municipal de la misma ciudad, Secretario Jurídico del Municipio de Soledad (Atlántico) y Secretario Jurídico del Departamento del Atlántico.Mas recientemente se desempeñado en cargos públicos, como Alcalde Encargado del Municipio de Soledad, Secretario de Educación del Departamento del Atlántico, Alcalde Encargado de la Ciudad de Barranquilla y secretario de Gobierno de la misma entidad.Fuente: http://www.partidocambioradical.org/portfolios/rodrigo-lara-5-3-2/",Modesto Enrique Aguilera Vides,Cambio Radical,https://www.instagram.com/modestoaguilera/,https://www.facebook.com/ModestoAguileraVides,,,,https://twitter.com/AguileraModesto,Circunscripción Territorial de Atlántico en Atlántico,Maestría,Abogado/a,2022 - 2026,12 de febrero de 1959,64,Barranquilla,Masculino,,427 - 428 - Ed. Nuevo del Congreso,4325100 ext: 3812 - 3813 - 3814,modesto.aguilera@camara.gov.co,https://bit.ly/3sYRzcR
3,"Antiguo excombatiente de las Farc y prácticamente su representante diplomático en el exterior.En 2016 llegó al país desde Cuba para liderar el MM&V como vocero de la guerrilla. En La Habana estuvo desde 2012, en los encuentros exploratorios con el gobierno de Juan Manuel Santos y tiempo después hizo parte de la delegación de paz cuando comenzaron los diálogos formalmente.Fuente: https://colombia2020.elespectador.com/politica/marco-calarca-un-diplomatico-guerrillero-que-llega-al-congreso",Luis Alberto Albán Urbano,Comunes,https://www.instagram.com/albancomunes/,https://www.facebook.com/profile.php?id=100004320549081,,,,https://twitter.com/AlbanComunes,Circunscripción Territorial de Valle del Cauca en Valle del Cauca,Universitaria,Docente,2022 - 2026,16 de agosto de 1957,65,Cali,Masculino,,Capitolio Nacional - Salón Amarillo,4325100 ext: 3830,luis.alban@camara.gov.co,
4,"Jose Amar es un empresario de Cambio Radical apoyado por el actual senador Arturo Char. Es Administrador de Empresas con Concentración en Negocios Internacionales con experiencia de más de 10 años, al ser socio gestor en empresas, lo cual me ha llevado a desarrollar habilidades de tipo administrativo, comercial y ventas. Adicionalmente, he realizado acompañamientos gerenciales tipo interventorias, en el desarrollo y ejecución de diferentes proyectos.Tomado de: Linkedinhttp://bit.ly/2DndEoE",José Gabriel Amar Sepúlveda,Cambio Radical,,https://www.facebook.com/joseamaratl/,,,,https://twitter.com/joseamarATL,Circunscripción Territorial de Atlántico en Atlántico,Universitaria,Empresario,2018-2022,25 de septiembre de 1981,41,Barranquilla,Masculino,,627 - Ed. Nuevo del Congreso,4325100 ext: 3617 - 3618,jose.amar@camara.gov.co,
5,"Se formó como profesional en Administración de Empresas de la Universidad del Valle, se especializó en Gerencia Social en la Pontificia Universidad Javeriana y en Administración en Salud de la Universidad Católica de Manizales. También se graduó como magíster en Gestión Pública en la Universidad Santiago de Cali. Tiene vocación docente y ha dedicado su vida al servicio de la gente, especialmente de los niños, las niñas y los adolescentes.Tomado de: https://miltonangulo.com/perfil/",Milton Hugo Angulo Viveros,Centro Democrático,https://www.instagram.com/miltonangulo/,https://www.facebook.com/miltonhugo.anguloviveros,,,,https://twitter.com/miltonhav,Circunscripción Territorial de Valle del Cauca en Valle del Cauca,Maestría,Administrador/a de empresas,2018-2022,2 de septiembre de 1973,49,Buenaventura,Masculino,,504B - 505B Ed. Nuevo del Congreso,4325100 ext: 3482 - 4162,milton.angulo@camara.gov.co,
6,"El magangueleño es pariente de los Arana en Magangué y también de los Padauí, apellidos de políticos en esa su ciudad natal, pero ha hecho política incluso, dice “con Marcelo Torres que es de la Alianza Verde”. “He hecho política con mi tío Anuar Arana que fue alcalde de Mangangué; y a mi tío el representante a la Cámara Hernando Padauí, lo quiero mucho pero somos de cuerdas políticas distintas”.Yamilito, como se da a conocer, es economista de la Universidad de Los Andes. Apoyado por el representante Pedrito Pereira, dice que uno de sus sueños es “continuar el proyecto que empezamos con la senadora del partido, Nadia Blel, y es cambiar la forma como se hace política en Bolívar; por eso estamos hoy con ella, para desde la Cámara gestionar los recursos que el departamento necesita”.El candidato expresa que “un propósito en esta campaña con la senadora es legislar estos 4 años desde los barrios, desde los corregimientos, los municipios, las veredas en Bolívar”.Información tomada de: http://bit.ly/2Cy75iv",Yamil Hernando Arana Padauí,Conservador Colombiano,https://www.instagram.com/yamilitoarana/,https://www.facebook.com/yamilaranap/,,,,https://twitter.com/YamilArana,Circunscripción Territorial de Bolívar en Bolívar,Especialización,Economista,2022 - 2026,5 de diciembre de 1990,32,Magangué,Masculino,,231B - 232B Ed.Nuevo del Congreso,4325100 ext: 3297,yamil.arana@camara.gov.co,
7,"Oscar Camilo Arango Cárdenas, estudió Ingeniería de Sistemas y Telecomunicaciones de la universidad de Manizales y se especializó en Dirección de Proyectos del Instituto Europeo de Posgrados en Convenio con la Universidad Metropolitana de Educación Ciencia y Tecnología de la Ciudad de Panamá.Elegido Representante a la Cámara por el Departamento de Vichada para el período Constitucional 2018-2022. Su capacidad para gestionar, planear y lograr resultados exitosos, le ha permitido desempeñarse en la dirección y gerencia de proyectos tanto en el sector público como en el privado, cumpliendo con su deber y siendo responsable y transparente en todas sus acciones.Hijo adoptivo del departamento de Vichada con más de 30 años viviendo en este departamento, empresario, con gran capacidad para conformar y coordinar grupos de trabajo orientados al logro de metas e indicadores de gestión. Excelentes habilidades de comunicación y liderazgo. Con conocimientos en normativas de Calidad e Infraestructura.",Óscar Camilo Arango Cárdenas,Cambio Radical,,https://www.facebook.com/CamiloArangoCamara/,https://www.linkedin.com/in/oscar-camilo-arango-cardenas-5ab50622,,,https://twitter.com/camiloarangoCR,Circunscripción Territorial de Vichada en Vichada,Especialización,Ingeniero/a,2018-2022,26 de abril de 1985,38,Cali,Masculino,,348B - Ed. Nuevo del Congreso,4325100 ext: 4129 - 4310,oscar.arango@camara.gov.co,https://bit.ly/3tN5Rwz
8,Este caucano de nacimiento es ingeniero de sistemas con especialización en Finanzas y en Gestión Ambiental. Con más de 20 años de trabajo en el sector empresarial llegó al Concejo de Cali por la ASI en 2012.http://www.partidocambioradical.org/portfolios/oswaldo-arcos/,Oswaldo Arcos Benavides,Cambio Radical,,https://www.facebook.com/Oswaldo-Arcos-Benavides-102146938706519,,,,,Circunscripción Territorial de Valle del Cauca en Valle del Cauca,Especialización,Ingeniero/a,2018-2022,6 de abril de 1965,58,Bolivar,Masculino,,611 - Ed. Nuevo del Congreso,4325100 ext: 3281,oswaldo.arcos@camara.gov.co,
9,"Abogado. Especialista en Derecho Administrativo de la Universidad Externado de Colombia. Nació en el municipio del Valle del Guamuez en Putumayo hace 29 años, hijo de una docente y un comerciante y agricultor, es bombero voluntario desde los 11 años, activista de las causas sociales, voluntarias y comunitarias, abogado de profesión egresado de la Universidad Santiago de Cali. Su experiencia laboral lo ha llevado a ocupar importantes cargos en el sector público tanto a nivel local como nacional.Trayectoria pública y privada en la que no se reporta año: Miembro de las Asambleas Liberales del Valle del Cauca, Jefe de la Oficina de Control Interno y Secretario de Gobierno en la Alcaldía del Valle del Guamuez. En el contexto nacional ha trabajado en la Dirección Administrativa de la Superintendencia de Notariado y Registro, asesor en el Congreso de la República, Consejería Presidencial de Derechos Humanos y asesor del Ministro del Interior.",Carlos Adolfo Ardila Espinosa,Liberal Colombiano,https://www.instagram.com/carlosardilae/,https://www.facebook.com/CarlosardilaE,,,,https://twitter.com/CARLOSARDILA10,Circunscripción Territorial de Putumayo en Putumayo,Especialización,Abogado/a,2022 - 2026,26 de marzo de 1988,35,Valle del Guamez,Masculino,,635 Ed. Nuevo del Congreso,4325100 ext: 3623 - 3624,carlos.ardila@camara.gov.co,https://bit.ly/3w4oAGu
