nombre,camara,genero,fecha_nacimiento,nivel_educativo,partido,estado,comision_constitucional,circunscripción,correo,twitter,pagina_web,codigo_dane,profesion
Manuel Enríquez Rosero,senador2014,Masculino,24/12/1958,maestría,PARTIDO DE LA UNIDAD SOCIAL,inactivo,1,NARIÑO,oficinamanuel1@yahoo.es,,,2611,Abogado
Juan Manuel Galan,senador2014,Masculino,29/07/1972,maestría,PARTIDO LIBERAL COLOMBIANO,inactivo,1,BOGOTÁ,,juanmanuelgalan,,2633,Politólogo
Viviane Aleyda Morales Hoyos,senador2014,Femenino,17/03/1962,,PARTIDO LIBERAL COLOMBIANO,inactivo,1,BOGOTÁ,,,,2611,Abogado
Horacio Serpa Uribe,senador2014,Masculino,4/1/1943,,PARTIDO LIBERAL COLOMBIANO,inactivo,1,SANTANDER,,HoracioSerpa,,2611,Abogado
Hernan Francisco Andrade Serrano,senador2014,Masculino,7/5/1960,especialización,PARTIDO CONSERVADOR COLOMBIANO,inactivo,1,HUILA,,,,2611,Abogado
Roberto Gerlein,senador2014,Masculino,,especialización,PARTIDO CONSERVADOR COLOMBIANO,inactivo,1,ATLÁNTICO,,,,2611,Abogado
Claudia Nayibe López Hernandez,senador2014,Femenino,9/3/1970,doctorado,PARTIDO ALIANZA VERDE,inactivo,1,BOGOTÁ,,ClaudiaLopez,,2633,Politólogo
Doris Clemencia Vega Quiroz,senador2014,Femenino,25/12/1959,,PARTIDO OPCIÓN CIUDADANA,inactivo,1,SANTANDER,,,,2622,Bibliotecólogo
Jaime Alejandro Amín Hernandez,senador2014,Masculino,,especialización,PARTIDO CENTRO DEMOCRÁTICO,inactivo,1,ATLÁNTICO,,JaimeAminH,,2611,Abogado
Alfredo Rangel Suarez,senador2014,Masculino,,maestría,PARTIDO CENTRO DEMOCRÁTICO,inactivo,1,BOGOTÁ,,,,2631,Economista
William Jimmy Chamorro,senador2014,Masculino,7/12/1963,Doctorado,PARTIDO DE LA UNIDAD SOCIAL,inactivo,2,VALLE DEL CAUCA,,,https://jimmychamorro.com/,2114,Geofísico
Oscar Mauricio Lizcano,senador2014,Masculino,12/8/1976,maestría,PARTIDO DE LA UNIDAD SOCIAL,inactivo,2,CALDAS,,MauricioLizcano,,2611,Abogado
Carlos Fernando Galán Pachon,senador2014,Masculino,4/6/1977,maestría,PARTIDO CAMBIO RADICAL,inactivo,2,BOGOTÁ,,CarlosFGalan,,2642,Periodista
Teresita Garcia Romero,senador2014,Femenino,11/11/1956,especialización,PARTIDO OPCIÓN CIUDADANA,inactivo,2,SUCRE,,teregarsenado,,2511,Ingeniero de sistemas
León Rigoberto Barón Neira,senador2014,Masculino,,especialización,PARTIDO CENTRO DEMOCRÁTICO,inactivo,2,BOYACÁ,,RigobertoBaronN,,2631,Economista
Ruby Thania Vega,senador2014,Femenino,,Bachiller,PARTIDO CENTRO DEMOCRÁTICO,inactivo,2,,,,,,
Marco Anival Avirama Avirama,senador2014,Masculino,14/09/1945,,PARTIDO ALIANZA SOCIAL INDEPENDIENTE,inactivo,2,CAUCA,,,,,
Bernardo Miguel Elias Vidal,senador2014,Masculino,7/11/1976,,PARTIDO DE LA UNIDAD SOCIAL,inactivo,3,CÓRDOBA,,,,2142,Ingeniero civil
Arleth Patricia Casado de López,senador2014,Masculino,17/04/1971,,PARTIDO LIBERAL COLOMBIANO,inactivo,3,CÓRDOBA,,,,1211,Administración de Empresas
Bernabe Celis Carillo,senador2014,Masculino,19/09/1955,especialización,PARTIDO CAMBIO RADICAL,inactivo,3,SANTANDER,,,,2631,Economista
Antonio Guerra de la Espriella,senador2014,Masculino,12/12/1955,,PARTIDO CAMBIO RADICAL,inactivo,3,SUCRE,,AGuerraSenador,,2631,Economista
Juan Manuel Corzo,senador2014,Masculino,3/10/1961,maestría,PARTIDO CONSERVADOR COLOMBIANO,inactivo,3,NORTE DE SANTANDER,,,,2611,Abogado
Olga Lucia Suarez Mira,senador2014,Femenino,14/11/1965,maestría,PARTIDO CONSERVADOR COLOMBIANO,inactivo,3,ANTIOQUIA,,,,2611,Abogado
Fernando Eustacio Tamayo Tamayo,senador2014,Masculino,13/02/1951,especialización,PARTIDO CONSERVADOR COLOMBIANO,inactivo,3,BOYACÁ,,,,2631,Economista
Antonio Jose Navarro Wolf,senador2014,Masculino,9/7/1948,especialización,PARTIDO ALIANZA VERDE,inactivo,3,,,,,2142,Ingeniero sanitario
Ivan  Duque Marquez,senador2014,Masculino,1/8/1976,maestría,PARTIDO CENTRO DEMOCRÁTICO,inactivo,3,BOGOTÁ,,IvanDuque,http://www.ivanduque.com/,2611,Abogado
Musa Abraham Besaile Fayad,senador2014,Masculino,4/7/1970,especialización,PARTIDO DE LA UNIDAD SOCIAL,inactivo,4,CÓRDOBA,,,,2142,Ingeniero civil
Martin Emilio Morales Diz,senador2014,Masculino,22/08/1968,profesional,PARTIDO DE LA UNIDAD SOCIAL,inactivo,4,CÓRDOBA,,,,2611,Abogado
Javier Tato Álvarez Montenegro,senador2014,Masculino,1/1/1969,,PARTIDO LIBERAL COLOMBIANO,inactivo,4,NARIÑO,,,,2611,Abogado
Álvaro Antonio Ashton Giraldo,senador2014,Masculino,11/1/1956,,PARTIDO LIBERAL COLOMBIANO,inactivo,4,ATLÁNTICO,,,,2631,Economista
Luis Fernando Duque García,senador2014,Masculino,22/07/1952,,PARTIDO LIBERAL COLOMBIANO,inactivo,4,ANTIOQUIA,,,,2631,Economista
Juan Carlos Restrepo Escobar,senador2014,Masculino,21/04/1969,,PARTIDO CAMBIO RADICAL,inactivo,4,CUNDINAMARCA,,,,2611,Abogado
Julio Miguel Guerra Sotto,senador2014,Masculino,,,PARTIDO OPCIÓN CIUDADANA,inactivo,4,SUCRE,,,,2611,Abogado
Alfredo Ramos Maya,senador2014,Masculino,,,PARTIDO CENTRO DEMOCRÁTICO,inactivo,4,ANTIOQUIA,info@alfredoramos.com,,,2611,Abogado
Nohora Stella Tovar Rey,senador2014,Femenino,21/11/1967,diplomado,PARTIDO CENTRO DEMOCRÁTICO,inactivo,4,META,,nohoratovar,,1211,Administración de Empresas
Efraín  Cepeda Sarabia,senador2014,Masculino,,,PARTIDO CONSERVADOR COLOMBIANO,activo,4,ATLÁNTICO,,,,2631,Economista
Carlos Felipe Mejía Mejía,senador2014,Masculino,,,PARTIDO CENTRO DEMOCRÁTICO,activo,4,CALDAS,,CARLOSFMEJIA,carlosfelipemejia.com,,
Manuel Guillermo Mora Jaramillo,senador2014,Masculino,5/3/1964,doctorado,PARTIDO DE LA UNIDAD SOCIAL,inactivo,5,NORTE DE SANTANDER,,,,2631,Economista
Milton Arlex Rodriguez Sarmiento,senador2014,Masculino,14/01/1973,especialización,PARTIDO DE LA UNIDAD SOCIAL,inactivo,5,CUNDINAMARCA,,,,2611,Abogado
Luis Emilio Sierra Grajales,senador2014,Masculino,15/11/1960,especialización,PARTIDO CONSERVADOR COLOMBIANO,inactivo,5,CALDAS,,luisemiliosg,,2611,Abogado
