,descripcion,nombre,partido,instagram,facebook,linkedin,tiktok,web,twitter,Circunscripción,Grado de estudio,Profesión,Cuatrienio,Fecha de nacimiento,Edad,Lugar de nacimiento,Género,Whatsapp,Oficina,Teléfono Oficina,Correo Electrónico,YouTube
0,"La congresista Agudelo, con nacionalidad colombiana y española, es graduada en Negocios Internacionales de la Universidad del Tolima (Colombia), Master en Economía Social de la Universidad de Valencia (España) En el año 2016 se graduó como Especialista en Gestión Pública y Control Fiscal, de la Universidad del Rosario; actualmente adelanta sus estudios de Doctorado en Economía Social y Entidades no Lucrativas, en la Universidad de Valencia EspañaFuente: http://anapaolaagudelo.com/quien-es-ana-paola-agudelo/",Ana Paola Agudelo García,MIRA - Colombia Justa Libres,,https://www.facebook.com/AnaPaolaAgudelo,,,,https://twitter.com/AnaPaolaAgudelo,Circunscripción Nacional en Distrito Capital,Maestría,Mercadeo / Negocios Internacionales,2022 - 2026,8 de mayo de 1983,40,Ibagué,Femenino,622598727,617- 618 Ed. Nuevo Congreso,382 3000 ext: 3609 - 3610 - 3726,,https://www.youtube.com/user/anapaolaagudelo
1,"Economista de la Universidad Javeriana. Especialista en Gobierno y Gestión Púbica de la misma universidad. Se desempeñó como Secretario General de la Alcaldía de Lorica, para luego pasar a la Asamblea Departamental de Córdoba (2004-2005) que presidió en su momento. Después de 3 periodos en la Cámara de Representantes (2006 – 2010; 2010 – 2014 y 2014 – 2018) presenta su candidatura al Senado.Tomado de: https://partidoliberal.org.co/PartidoLiberalSenadores2018/?id=56#gallery-2",Fabio Raúl Amín Saleme,Liberal Colombiano,,https://www.facebook.com/FabioAminSaleme/,,,,https://twitter.com/fabioaminsaleme,Circunscripción Nacional en Córdoba,Especialización,Economista,2022 - 2026,15 de octubre de 1976,46,Lorica,Masculino,301 578 6681,Capitolio 1 Piso,382 3000 ext: 5051 - 5052,fabio.amin@camara.gov.co,https://bit.ly/3HZw0NB
2,"Esperanza Andrade actualmente se desempeña como Senadora de la República representando al Partido Conservador Colombiano.Es una experimentada abogada, graduada de la Universidad Externado de Colombia. Realizó especializaciones en Derecho Comercial y Público.Es madre de Paola Andrea, María Margarita y Carlos Felipe, y abuela de Emilio José, Esteban y Emmanuel.Cree firmemente en la familia y en la imperiosa necesidad de velar por los derechos de los niños, las mujeres y la familia, para la construcción de una sociedad más equitativa, justa y solidaria.",Esperanza Andrade Serrano,Conservador Colombiano,https://www.instagram.com/esperanzaandradeserrano/?hl=es-la,https://www.facebook.com/EsperanzaAndradeSerrano/?ref=br_rs,,,,https://twitter.com/EsperanzaSenado,Circunscripción Nacional en Huila,Especialización,Abogado/a,2022 - 2026,14 de marzo de 1957,66,Neiva,Femenino,315 8036506,Mez. Sur Ed. Nuevo Congreso,382 3000 ext: 3162 - 3163 - 3165,,https://bit.ly/3hYA46g
3,"Representante a la Cámara por el Valle del Cauca (2010-2014), Concejal del municipio de Cali (2008-2009) por el PDA. Dirigente sindical y líder político desde toda la vida.Desde su temprana adolescencia se hace militante de izquierda y al ingresar al SENA como aprendiz, funda el Comité Estudiantil del SENA y el Círculo de Estudios e Investigaciones del SENA; posteriormente, es elegido presidente de la Federación Juvenil Obrera. Ha sido miembro fundador del Taller Político José Cardona Hoyos; Presidente de SINDESENA y miembro de los comités ejecutivos Departamental y Nacional de la CUT,Se ha desempeñado como:• Asesor del sector laboral de la Junta Directiva de INSAFOR, Instituto Salvadoreño de Formación Profesional.• Conferencista del Centro Internacional de investigaciones de la Formación Profesional, CINTERFOR, con sede en Montevideo, en seminarios internacionales de la OIT sobre educación y de las Comisiones Obreras de en España.• Fue designado Vocero Único de la ocupación pacífica de la Torre Administrativa del CAM por los trabajadores de las Empresas Municipales de Cali - EMCALI (1998), acompañada de una gran movilización social y conducente a un Acuerdo del Concejo Municipal que prohíbe la venta o enajenación de EMCALI por un siglo• Articulista y ensayista para diversa revistas y periódicos institucionales, sociales y populares.• La fundación del Círculo de Estudios Pedagógicos y de la formación Profesional CEPEF ha permitido a Wilson Arias, su confundador, tener el espacio académico para la discusión y análisis de lo educativo y develar en su revista, jornadas pedagógicas y congresos, los lesivos desenlaces de la política neoliberal tanto en la educación como aparato productivo nacional.• Fue uno de los Jefes de Debate para el Valle del Cauca, en la Campaña Presidencial de Carlos Gaviria Díaz.Enlace Sigep: https://bit.ly/2v71jqJ",Wilson Neber Arias Castillo,Pacto Histórico Coalición,,https://www.facebook.com/WilsonAriasC/,,,,https://twitter.com/wilsonariasc,Circunscripción Nacional en Valle del Cauca,Técnica,Sin profesión,2022 - 2026,17 de diciembre de 1962,60,Cali,Masculino,311 6352065,637 B,3823000 ext 3275/3763,,https://bit.ly/3t1uk1Y
4,"Abogado de la Universidad de los Andes graduado en el 2007, tiene una Maestría en Derecho Internacional Económico de la Universidad de Ginebra Suiza, de la cual se graduó con una mención especial por su tesis sobre ‘Fusiones y Adquisiciones’.En mayo de 2012, regresa al país y a partir de diciembre del mismo año, asume la asesoría de gran parte de las cerca de 67.000 familias víctimas de la tragedia causada por el derrumbe del Relleno Sanitario Doña Juana, en 1997. Esto último, al enterarse que abogados y políticos inescrupulosos estaban sacando provecho de la sentencia del Consejo de Estado a favor de la familias afectadas y representadas legalmente por su padre, Guillermo Asprilla, tiempo atrás. Precisamente, fiel al modelo de su padre, Inti ha puesto su profesión al servicio de los más necesitados; asesoró a 125 familias de los barrios La Paz y Danubio Azul (Usme) evitando el desalojo de las mismas, obteniendo la nulidad de lo actuado y exigiendo el derecho de las familias para ser escuchadas.Inti Asprilla hoy es Representante a la Cámara por Bogotá de la Alianza Verde y miembro de la comisión V de esa Corporación. Continúa recorriendo los barrios populares de la ciudad, defendiendo las causas populares y heredando las luchas de su padre como el cierre definitivo del Relleno Sanitario.",Inti Raúl Asprilla Reyes,Alianza Verde Centro Esperanza Coalición,,https://www.facebook.com/intiasprilla/,,,,https://twitter.com/IntiAsprilla,Circunscripción Nacional en Distrito Capital,Maestría,Abogado/a,2022 - 2026,9 de octubre de 1981,41,Bogotá,Masculino,3219505341,Sótano - Capitolio Nacional,4325100 ext 3573 - 3574 - 3592,,https://bit.ly/3J5Ut5e
5,"Aída Avella Esquivel es psicóloga de la Universidad Nacional y cuenta con una importante trayectoria como dirigente social y política en la ciudad y el país. Fue constituyente de la Asamblea Nacional de 1991, concejal de Bogotá entre 1992 y 1996, y candidata a la Vicepresidencia en las elecciones presidenciales de 2014 por la alianza entre el Polo Democrático Alternativo y la Unión Patriótica. En el movimiento sindical, como trabajadora del Ministerio de Educación Nacional, ocupo varias responsabilidades destacándose su papel como Presidenta Nacional de FENALTRASE, fundadora y directiva de la Central Unitaria de Trabajadores, CUT.En la actualidad, después de 17 años en el exilio, retomó la presidencia de la UP y el reto de recuperar la curul que ocupaba en el momento que la obligaron a salir del país. Fue Presidenta del cabildo distrital donde se destacó por su práctica democrática, su compromiso con la defensa del patrimonio público, los derechos de los trabajadores y de los sectores medios y populares.Tomado de: https://up.org.co/index.php/aida-avellaEnlace Sigep: https://bit.ly/2vjrnij",Aída Yolanda Avella Esquivel,Pacto Histórico Coalición,https://www.instagram.com/aidaavella/,https://www.facebook.com/aidaavellae,,,,https://twitter.com/AidaAvellaE,Circunscripción Nacional en Distrito Capital,Universitaria,Psicólogo/a,2022 - 2026,23 de enero de 1943,80,Sogamoso,Femenino,,633B Ed. Nuevo Congreso,382 3000 ext: 3671 - 3672 - 3710,,
6,Estudió Ciencia Política en la Universidad Nacional de Colombia.,Ariel Fernando Avila Martínez,Alianza Verde Centro Esperanza Coalición,https://www.instagram.com/arielavilaanaliza/?hl=es,https://www.facebook.com/ArielAvilaAnaliza,,,,https://twitter.com/arielanaliza,Circunscripción Nacional en Distrito Capital,Universitaria,Politólogo/a,2022 - 2026,8 de noviembre de 1983,39,San Bernardo,Masculino,,,,,
7,"Josué Alirio Barrera nació en una vereda alejada del municipio de Aguazul. Fue criado en una familia humilde, ""temerosa de Dios"". (También: El domador de caballos que se quiere quedar con el aval del uribismo) Creció en un hogar en el que había 11 hijos, los cuales, debido a la situación económica, no se les pudo dar formación académica, pero si aprendieron del trabajo del campo, a ser responsables y a enfrentar los retos. Siendo todavìa un niño, Barrera empezó a trabajar como vendedor de chance. Vendió periódico, chorizos, tinto; fue cotero, cargó lavaza, fue ayudante de mecánica y encargado de fincas. Trabajó como ayudante de construcción. Por cuenta de la guerra, él y su familia fueron víctimas del desplazamiento forzado. En su adolescencia y con tan solo tercero de primaria, Alirio empezó a trabajar como administrador de una finca. Aprendió el arte de domar caballos, de la agricultura y la práctica ganadera, en lo que empezó a desempeñarse, logrando ser ganadero y se convirtió en el mejor amansador de caballos de la región. Con el negocio de los caballos no solo comenzó a obtener recursos sino reconocimiento. Pero también lo hizo visible ante el expresidente Álvaro Uribe, con quien fincó una amistad a partir de compartir el gusto por los equinos. Por eso fue el mismo Uribe que al ver su liderazgo e historia de vida, lo invitó a hacer parte de su partido.Sacado de:https://www.eltiempo.com/politica/partidos-politicos/quien-es-alirio-barrera-la-otra-carta-del-uribismo-para-2022-622151",Josué Alirio Barrera,Centro Democrático,,https://www.facebook.com/JosueAlirioBarrera,,,,https://twitter.com/JAlirioBarreraR,Circunscripción Nacional en Santander,Primaria incompleta,Empresario,2022 - 2026,19 de noviembre de 1976,46,Aguazul,Masculino,,,,,
8,"Colombiano de 54 años. Hijo y nieto de campesinos. Felizmente casado con Gloria, abogada caleña. Tiene cinco hijos, tres perros y un gato.Fue taxista y panadero. Médico, escritor, sociólogo y filósofo. Realizó un Especialización de Derecho Internacional de los Derechos Humanos en la Universidad Alfonso X El Sabio de España y una Maestría en Literatura Española e Hispanoamericana en la Universidad de Barcelona.En 2006 fue elegido Representante a la Cámara y en 2010 Senador de la República. En el 2011 asumió la presidencia de la Comisión de Paz del Senado y en 2012 fue elegido presidente del Congreso. Desde 2014 se dedicó al proceso de paz que puso fin a 52 años de conflicto armado.Ha liderado normas tendientes a garantizar la seguridad y la paz de los colombianos, como la Ley de Víctimas y de Restitución de Tierras; el Marco Jurídico para la Paz; la Ley de Justicia y Paz; y la Seguridad Jurídica para las Fuerzas Militares, y el Acto Legislativo para la Paz.Y para dar cumplimiento a los Acuerdos de Paz asumió la tarea de sacar adelante trascendentales leyes como la Justicia Especial para la Paz; la ley que someterá colectivamente a las bandas criminales; la ley de Orden Público que blindará el proceso de paz, la que otorga garantías a la Oposición; la ley que moderniza mecanismos de participación ciudadana; la ley de equilibrio de poderes, la que creó regalías para financiar proyectos del posconflicto para más de 200 municipios y la que estableció incentivos para la innovación en el campo y dio origen a la Agencia de Desarrollo Rural para el progreso de pequeños agricultores.Desde el Congreso ROY BARRERAS ha defendido trascendentales temas sociales que nos permitirán vivir en una Colombia mejor para nuestros hijos. : Como la Ley que creó la Agencia de Seguridad Vial que ha frenado la accidentalidad en Colombia; la norma que reconoce salario mínimo y prestaciones de ley a más de 74 mil Madres Comunitarias; la ley de Primera Infancia que ha beneficiado a más de 1.2 millones de niños colombianos; la ley que deshereda a hijos maltratadores, la ley que otorga un salario digno a médicos residentes; la Ley de pequeñas causas que descongestionará procesos judiciales; la Ley de donación de órganos; la ley de salas amigas de la familia lactante, la ley que amplía el registro de víctimas y la Ley “Pepe Sánchez” protección de los derechos de autor de los actores.Enlace Sigep: https://bit.ly/2SWHdII",Roy Leonardo Barreras Montealegre,Pacto Histórico Coalición,https://www.instagram.com/roybarreras/,https://www.facebook.com/RoyBarrerasCol,,,,https://twitter.com/RoyBarreras,Circunscripción Nacional en Valle del Cauca,Maestría,Ciencias de la Salud,2022 - 2026,27 de noviembre de 1963,59,Bogotá,Masculino,311 300 4885,Capitolio 3 Piso,382 3000 ext: 5493 - 5496,roybarreras@gmail.com,https://bit.ly/3pXCSoG
9,"Inició sus estudios en la escuela de la Vereda Cai, Cañón del Combeima, posteriormente se graduó como bachiller en el Instituto Agropecuario Mariano Melendro de Chapeton (Cañón del Combeima).Luego realizo su formación profesional en la Universidad de Ibagué como contador público y paralelamente laboró en una empresa familiar, así como en empresas de tradición de la ciudad como: La Feria escolar, Santa fe de los Guaduales, Central Pecuaria, entre otras.Posteriormente realizó una especialización en Finanzas en la Universidad de Ibagué en convenio con la Universidad del Rosario, y luego una especialización en Derecho Administrativo en la Universidad Externado.Actualmente aspira a representar en la Cámara al Departamento del Tolima acompañado por sectores políticos de extracción conservadora principalmente, líderes populares y ciudadanos activos que buscan una representación verdadera en la Cámara priorizando los intereses colectivos del departamento ante el congreso de la República.http://miguelangelbarreto.com/quien-es-miguel-barreto/Enlace Sigep: https://bit.ly/2HUGWzF",Miguel Ángel Barreto Castillo,Conservador Colombiano,,https://www.facebook.com/MiguelBarretoC/,,,,https://twitter.com/MIgueBarretoC,Circunscripción Nacional en Tolima,Especialización,Contador/a,2022 - 2026,6 de abril de 1978,45,Ibagué,Masculino,,2 Mez. Norte Ed. Nuevo Congreso,382 3000 ext 3178 - 3415,,https://bit.ly/3tRRo2m
